import time: self [us] | cumulative | imported package
import time:     29234 |     329299 |                 redis.asyncio.client
import time:     16190 |      16190 |                   redis.cluster
import time:     19887 |      36077 |                 redis.asyncio.cluster
import time:      8844 |       8844 |                 redis.asyncio.sentinel
import time:      3627 |       3627 |                 redis.asyncio.utils
import time:      5243 |     383088 |               redis.asyncio
import time:      3993 |       3993 |               redis.sentinel
import time:     13583 |     400664 |             redis
import time:      5948 |       5948 |                 sklearn._config
import time:      8526 |       8526 |                   sklearn.__check_build._check_build
import time:      4035 |      12560 |                 sklearn.__check_build
import time:     13556 |      13556 |                 sklearn._distributor_init
import time:      4294 |       4294 |                   sklearn.exceptions
import time:      6376 |       6376 |                           sklearn.utils._bunch
import time:      7494 |      13870 |                         sklearn.utils._metadata_requests
import time:      5887 |      19756 |                       sklearn.utils.metadata_routing
import time:      5045 |       5045 |                               scipy.__config__
import time:      4162 |       4162 |                               scipy.version
import time:       816 |        816 |                                 scipy._distributor_init_local
import time:      5663 |       6478 |                               scipy._distributor_init
import time:      4320 |       4320 |                                   cython
import time:      7512 |      11832 |                                 scipy._lib._testutils
import time:      3521 |      15353 |                               scipy._lib
import time:     39880 |      39880 |                               scipy._lib._pep440
import time:      4193 |       4193 |                                   scipy._cyutility
import time:      6498 |      10691 |                                 scipy._lib._ccallback_c
import time:      5505 |      16195 |                               scipy._lib._ccallback
import time:      9032 |      96142 |                             scipy
import time:     12044 |      12044 |                                           scipy._lib.array_api_compat.common._typing
import time:      5244 |      17287 |                                         scipy._lib.array_api_compat.common._helpers
import time:      6533 |      23820 |                                       scipy._lib.array_api_compat.common
import time:      7464 |      31284 |                                     scipy._lib.array_api_compat
import time:      6925 |       6925 |                                       scipy._lib.array_api_compat._internal
import time:      5709 |       5709 |                                         numpy.testing._private
import time:       420 |        420 |                                           gc
import time:     20598 |      21017 |                                         numpy.testing._private.utils
import time:      4077 |       4077 |                                         numpy.testing._private.extbuild
import time:      2847 |       2847 |                                         numpy.testing.overrides
import time:      4675 |      38323 |                                       numpy.testing
import time:     14944 |      14944 |                                         scipy._lib.array_api_compat.common._aliases
import time:      4669 |       4669 |                                         scipy._lib.array_api_compat.numpy._typing
import time:     23256 |      42868 |                                       scipy._lib.array_api_compat.numpy._aliases
import time:      3855 |       3855 |                                       scipy._lib.array_api_compat.numpy._info
import time:     15172 |      15172 |                                         scipy._lib.array_api_compat.common._linalg
import time:      6811 |      21983 |                                       scipy._lib.array_api_compat.numpy.linalg
import time:      3544 |       3544 |                                         scipy._lib.array_api_compat.common._fft
import time:      7819 |      11362 |                                       scipy._lib.array_api_compat.numpy.fft
import time:     11028 |     136342 |                                     scipy._lib.array_api_compat.numpy
import time:      2924 |       2924 |                                           scipy._lib.array_api_extra._lib
import time:      3014 |       3014 |                                               scipy._lib.array_api_extra._lib._utils
import time:      2897 |       2897 |                                                     scipy._lib._sparse
import time:      6110 |       9006 |                                                   scipy._lib._array_api_override
import time:      5299 |      14305 |                                                 scipy._lib._array_api_compat_vendor
import time:      4240 |      18544 |                                               scipy._lib.array_api_extra._lib._utils._compat
import time:      3472 |       3472 |                                                 scipy._lib.array_api_extra._lib._utils._typing
import time:     10528 |      13999 |                                               scipy._lib.array_api_extra._lib._utils._helpers
import time:      6675 |      42231 |                                             scipy._lib.array_api_extra._lib._at
import time:      8061 |      50291 |                                           scipy._lib.array_api_extra._lib._funcs
import time:      6777 |      59992 |                                         scipy._lib.array_api_extra._delegation
import time:      5954 |       5954 |                                         scipy._lib.array_api_extra._lib._lazy
import time:      6360 |      72305 |                                       scipy._lib.array_api_extra
import time:      7703 |      80008 |                                     scipy._lib.array_api_extra.testing
import time:     12105 |      12105 |                                       pydoc
import time:     15947 |      28051 |                                     scipy._lib._docscrape
import time:     10513 |     286196 |                                   scipy._lib._array_api
import time:     11829 |     298024 |                                 scipy._lib._util
import time:      6360 |     304383 |                               scipy.sparse._sputils
import time:      9006 |       9006 |                               scipy.sparse._matrix
import time:     10951 |     324340 |                             scipy.sparse._base
import time:      3997 |       3997 |                                   numpy._core
import time:     12512 |      16509 |                                 numpy._core._multiarray_umath
import time:      8283 |      24792 |                               scipy.sparse._sparsetools
import time:      9497 |       9497 |                                 scipy.sparse._data
import time:      7908 |       7908 |                                 scipy.sparse._index
import time:     10188 |      27592 |                               scipy.sparse._compressed
import time:      8758 |      61141 |                             scipy.sparse._csr
import time:      7936 |       7936 |                             scipy.sparse._csc
import time:     14254 |      14254 |                               scipy.sparse._csparsetools
import time:     14488 |      28742 |                             scipy.sparse._lil
import time:      7535 |       7535 |                             scipy.sparse._dok
import time:     14882 |      14882 |                             scipy.sparse._coo
import time:     21031 |      21031 |                             scipy.sparse._dia
import time:      9050 |       9050 |                             scipy.sparse._bsr
import time:      4481 |       4481 |                               scipy._lib.deprecation
import time:     34695 |      39175 |                             scipy.sparse._construct
import time:      6455 |       6455 |                             scipy.sparse._extract
import time:      4098 |       4098 |                             scipy.sparse._matrix_io
import time:      6064 |       6064 |                             scipy.sparse.base
import time:      7823 |       7823 |                             scipy.sparse.bsr
import time:      9723 |       9723 |                             scipy.sparse.compressed
import time:      6238 |       6238 |                             scipy.sparse.construct
import time:      7961 |       7961 |                             scipy.sparse.coo
import time:      8056 |       8056 |                             scipy.sparse.csc
import time:      3375 |       3375 |                             scipy.sparse.csr
import time:     14324 |      14324 |                             scipy.sparse.data
import time:     14266 |      14266 |                             scipy.sparse.dia
import time:      4406 |       4406 |                             scipy.sparse.dok
import time:     14547 |      14547 |                             scipy.sparse.extract
import time:     30780 |      30780 |                             scipy.sparse.lil
import time:      9360 |       9360 |                             scipy.sparse.sparsetools
import time:      7945 |       7945 |                             scipy.sparse.sputils
import time:     12918 |     778301 |                           scipy.sparse
import time:     10298 |      10298 |                                   _multiprocessing
import time:      5525 |      15823 |                                 joblib._multiprocessing_helpers
import time:      4213 |       4213 |                                   joblib.externals
import time:      5876 |       5876 |                                   joblib.externals.loky._base
import time:      4894 |       4894 |                                         multiprocessing.util
import time:      8772 |      13665 |                                       multiprocessing.synchronize
import time:     12151 |      12151 |                                           multiprocessing.connection
import time:      5042 |       5042 |                                           multiprocessing.queues
import time:      5559 |      22751 |                                         concurrent.futures.process
import time:     12104 |      12104 |                                         joblib.externals.loky.backend.process
import time:     11856 |      46711 |                                       joblib.externals.loky.backend.context
import time:      4921 |      65296 |                                     joblib.externals.loky.backend
import time:       279 |      65575 |                                   joblib.externals.loky.backend.context
import time:      9094 |       9094 |                                     joblib.externals.loky.backend._win_reduction
import time:     11937 |      11937 |                                       joblib.externals.cloudpickle.cloudpickle
import time:     12002 |      23938 |                                     joblib.externals.cloudpickle
import time:      6961 |      39992 |                                   joblib.externals.loky.backend.reduction
import time:      1146 |       1146 |                                       faulthandler
import time:      8285 |       8285 |                                       joblib.externals.loky.backend.queues
import time:     13352 |      13352 |                                       joblib.externals.loky.backend.utils
import time:      8963 |       8963 |                                       joblib.externals.loky.initializers
import time:     13726 |      45470 |                                     joblib.externals.loky.process_executor
import time:     10398 |      55868 |                                   joblib.externals.loky.reusable_executor
import time:      4352 |       4352 |                                   joblib.externals.loky.cloudpickle_wrapper
import time:     11801 |     187673 |                                 joblib.externals.loky
import time:     11263 |     214758 |                               joblib._cloudpickle_wrapper
import time:     27816 |      27816 |                                 joblib._utils
import time:     14126 |      14126 |                                 multiprocessing.pool
import time:      9646 |       9646 |                                     joblib.backports
import time:      8693 |       8693 |                                     joblib.disk
import time:       760 |        760 |                                           runpy
import time:     13418 |      14178 |                                         multiprocessing.spawn
import time:      4693 |      18870 |                                       multiprocessing.resource_tracker
import time:     13433 |      13433 |                                       joblib.externals.loky.backend.spawn
import time:     15098 |      47401 |                                     joblib.externals.loky.backend.resource_tracker
import time:      2458 |       2458 |                                         lz4
import time:     10373 |      12831 |                                       joblib.compressor
import time:      7210 |       7210 |                                         joblib.numpy_pickle_utils
import time:      8272 |      15481 |                                       joblib.numpy_pickle_compat
import time:      7150 |      35461 |                                     joblib.numpy_pickle
import time:      9393 |     110591 |                                   joblib._memmapping_reducer
import time:      7629 |     118220 |                                 joblib.executor
import time:     11229 |      11229 |                                 joblib.pool
import time:      9182 |     180571 |                               joblib._parallel_backends
import time:      4297 |       4297 |                                 joblib.logger
import time:     22434 |      26730 |                               joblib._store_backends
import time:      7646 |       7646 |                               joblib.hashing
import time:      9085 |       9085 |                                 joblib.func_inspect
import time:     10288 |      19372 |                               joblib.memory
import time:     13395 |      13395 |                               joblib.parallel
import time:     18831 |     481301 |                             joblib
import time:      5272 |       5272 |                                 scipy.special._sf_error
import time:      6454 |       6454 |                                   scipy.special._ufuncs_cxx
import time:      6785 |       6785 |                                   scipy.special._ellip_harm_2
import time:      9646 |       9646 |                                   scipy.special._special_ufuncs
import time:      9246 |       9246 |                                   scipy.special._gufuncs
import time:     21947 |      54075 |                                 scipy.special._ufuncs
import time:      9492 |       9492 |                                   scipy.special._input_validation
import time:      7281 |       7281 |                                   scipy.special._specfun
import time:      9598 |       9598 |                                   scipy.special._comb
import time:     13844 |      40214 |                                 scipy.special._basic
import time:      8348 |       8348 |                                   scipy.special._spfun_stats
import time:    493645 |     501993 |                                 scipy.special._support_alternative_backends
import time:     16744 |      16744 |                                 scipy.special._logsumexp
import time:     13264 |      13264 |                                 scipy.special._multiufuncs
import time:     13277 |      13277 |                                 scipy.special._orthogonal
import time:     18415 |      18415 |                                 scipy.special._ellip_harm
import time:     24056 |      24056 |                                 scipy.special._lambertw
import time:     23759 |      23759 |                                 scipy.special._spherical_bessel
import time:      5738 |       5738 |                                 scipy.special.add_newdocs
import time:      4281 |       4281 |                                 scipy.special.basic
import time:      4489 |       4489 |                                 scipy.special.orthogonal
import time:      8292 |       8292 |                                 scipy.special.specfun
import time:      8442 |       8442 |                                 scipy.special.sf_error
import time:      6600 |       6600 |                                 scipy.special.spfun_stats
import time:     11278 |     760182 |                               scipy.special
import time:     11180 |      11180 |                               sklearn.externals
import time:     24809 |      24809 |                                     sklearn.externals.array_api_compat.common._typing
import time:     18861 |      43669 |                                   sklearn.externals.array_api_compat.common._helpers
import time:      7327 |      50996 |                                 sklearn.externals.array_api_compat.common
import time:      6328 |      57324 |                               sklearn.externals.array_api_compat
import time:      7119 |       7119 |                                   sklearn.externals.array_api_extra._lib
import time:      4390 |       4390 |                                       sklearn.externals.array_api_extra._lib._utils
import time:      3890 |       3890 |                                         sklearn.externals._array_api_compat_vendor
import time:      8521 |      12410 |                                       sklearn.externals.array_api_extra._lib._utils._compat
import time:      4583 |       4583 |                                         sklearn.externals.array_api_extra._lib._utils._typing
import time:     15825 |      20408 |                                       sklearn.externals.array_api_extra._lib._utils._helpers
import time:     19518 |      56724 |                                     sklearn.externals.array_api_extra._lib._at
import time:     19340 |      76064 |                                   sklearn.externals.array_api_extra._lib._funcs
import time:     11640 |      94822 |                                 sklearn.externals.array_api_extra._delegation
import time:      5502 |       5502 |                                 sklearn.externals.array_api_extra._lib._lazy
import time:     14320 |     114643 |                               sklearn.externals.array_api_extra
import time:      3656 |       3656 |                                   sklearn.externals.array_api_compat._internal
import time:     23185 |      23185 |                                   sklearn.externals.array_api_compat.common._aliases
import time:     14779 |      14779 |                                     sklearn.externals.array_api_compat.numpy._typing
import time:      5510 |      20288 |                                   sklearn.externals.array_api_compat.numpy._info
import time:     31530 |      78657 |                                 sklearn.externals.array_api_compat.numpy._aliases
import time:     30645 |      30645 |                                   sklearn.externals.array_api_compat.common._linalg
import time:     18213 |      48857 |                                 sklearn.externals.array_api_compat.numpy.linalg
import time:      9377 |       9377 |                                   sklearn.externals.array_api_compat.common._fft
import time:     18742 |      28118 |                                 sklearn.externals.array_api_compat.numpy.fft
import time:      7823 |     163455 |                               sklearn.externals.array_api_compat.numpy
import time:      4813 |       4813 |                               sklearn.utils._dataframe
import time:     16132 |      16132 |                                       scipy.sparse.linalg._interface
import time:     18577 |      18577 |                                       scipy.sparse.linalg._isolve.utils
import time:     13435 |      13435 |                                             scipy.linalg._fblas
import time:       759 |        759 |                                             scipy.linalg._cblas
import time:      4941 |      19134 |                                           scipy.linalg.blas
import time:     18102 |      18102 |                                             scipy.linalg._flapack
import time:       779 |        779 |                                             scipy.linalg._clapack
import time:     16051 |      34931 |                                           scipy.linalg.lapack
import time:     16167 |      70231 |                                         scipy.linalg._misc
import time:     17840 |      17840 |                                           scipy.linalg.cython_lapack
import time:     27554 |      45394 |                                         scipy.linalg._cythonized_array_utils
import time:    144819 |     144819 |                                           scipy.linalg._decomp
import time:     82505 |      82505 |                                           scipy.linalg._decomp_svd
import time:      7513 |       7513 |                                           scipy.linalg._solve_toeplitz
import time:      7491 |       7491 |                                           scipy.linalg._batched_linalg
import time:     58695 |     301021 |                                         scipy.linalg._basic
import time:      5489 |       5489 |                                           scipy.linalg._decomp_lu_cython
import time:     11276 |      16765 |                                         scipy.linalg._decomp_lu
import time:     16370 |      16370 |                                         scipy.linalg._decomp_ldl
import time:     17573 |      17573 |                                         scipy.linalg._decomp_cholesky
import time:     17472 |      17472 |                                         scipy.linalg._decomp_qr
import time:     17168 |      17168 |                                         scipy.linalg._decomp_qz
import time:     15839 |      15839 |                                         scipy.linalg._decomp_schur
import time:     10196 |      10196 |                                         scipy.linalg._decomp_polar
import time:     14923 |      14923 |                                           scipy.linalg._expm_frechet
import time:     18987 |      18987 |                                           scipy.linalg._matfuncs_schur_sqrtm
import time:     14882 |      14882 |                                           scipy.linalg._matfuncs_expm
import time:      8105 |       8105 |                                           scipy.linalg._linalg_pythran
import time:     30088 |      86983 |                                         scipy.linalg._matfuncs
import time:     16144 |      16144 |                                         scipy.linalg._special_matrices
import time:     16851 |      16851 |                                         scipy.linalg._solvers
import time:     16949 |      16949 |                                         scipy.linalg._procrustes
import time:     31241 |      31241 |                                           scipy.linalg.cython_blas
import time:     38698 |      69939 |                                         scipy.linalg._decomp_update
import time:     31475 |      31475 |                                         scipy.linalg._sketches
import time:     11605 |      11605 |                                         scipy.linalg._decomp_cossin
import time:     15188 |      15188 |                                         scipy.linalg.decomp
import time:      3569 |       3569 |                                         scipy.linalg.decomp_cholesky
import time:     10992 |      10992 |                                         scipy.linalg.decomp_lu
import time:      4253 |       4253 |                                         scipy.linalg.decomp_qr
import time:      6611 |       6611 |                                         scipy.linalg.decomp_svd
import time:      7016 |       7016 |                                         scipy.linalg.decomp_schur
import time:      3223 |       3223 |                                         scipy.linalg.basic
import time:      7390 |       7390 |                                         scipy.linalg.misc
import time:      6031 |       6031 |                                         scipy.linalg.special_matrices
import time:      3227 |       3227 |                                         scipy.linalg.matfuncs
import time:     20963 |     866427 |                                       scipy.linalg
import time:     14833 |     915967 |                                     scipy.sparse.linalg._isolve.iterative
import time:      5995 |       5995 |                                     scipy.sparse.linalg._isolve.minres
import time:      4078 |       4078 |                                       scipy.sparse.linalg._isolve._gcrotmk
import time:      6659 |      10736 |                                     scipy.sparse.linalg._isolve.lgmres
import time:      8992 |       8992 |                                     scipy.sparse.linalg._isolve.lsqr
import time:      4740 |       4740 |                                     scipy.sparse.linalg._isolve.lsmr
import time:      4137 |       4137 |                                     scipy.sparse.linalg._isolve.tfqmr
import time:     22290 |     972854 |                                   scipy.sparse.linalg._isolve
import time:     10092 |      10092 |                                       scipy.sparse.linalg._dsolve._superlu
import time:      2701 |       2701 |                                         scikits
import time:       800 |       3501 |                                       scikits.umfpack
import time:      8686 |      22278 |                                     scipy.sparse.linalg._dsolve.linsolve
import time:     14820 |      14820 |                                     scipy.sparse.linalg._dsolve._add_newdocs
import time:      8963 |      46060 |                                   scipy.sparse.linalg._dsolve
import time:      8194 |       8194 |                                         scipy.sparse.linalg._eigen.arpack._arpacklib
import time:     71721 |      79914 |                                       scipy.sparse.linalg._eigen.arpack.arpack
import time:      9651 |      89564 |                                     scipy.sparse.linalg._eigen.arpack
import time:     15760 |      15760 |                                       scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:     11346 |      27106 |                                     scipy.sparse.linalg._eigen.lobpcg
import time:     22481 |      22481 |                                         scipy.sparse.linalg._propack
import time:     42125 |      64605 |                                       scipy.sparse.linalg._svdp
import time:     44119 |     108723 |                                     scipy.sparse.linalg._eigen._svds
import time:      9092 |     234484 |                                   scipy.sparse.linalg._eigen
import time:      7725 |       7725 |                                       scipy.sparse.linalg._onenormest
import time:     25236 |      32960 |                                     scipy.sparse.linalg._expm_multiply
import time:     34453 |      67412 |                                   scipy.sparse.linalg._matfuncs
import time:     10301 |      10301 |                                   scipy.sparse.linalg._norm
import time:      4502 |       4502 |                                   scipy.sparse.linalg._funm_multiply_krylov
import time:     14768 |      14768 |                                   scipy.sparse.linalg._special_sparse_arrays
import time:      7965 |       7965 |                                   scipy.sparse.linalg.isolve
import time:      6960 |       6960 |                                   scipy.sparse.linalg.dsolve
import time:      7508 |       7508 |                                   scipy.sparse.linalg.interface
import time:      7173 |       7173 |                                   scipy.sparse.linalg.eigen
import time:     20141 |      20141 |                                   scipy.sparse.linalg.matfuncs
import time:     17979 |    1418101 |                                 scipy.sparse.linalg
import time:     13403 |      13403 |                                   scipy.stats._warnings_errors
import time:     13676 |      13676 |                                         scipy.spatial._ckdtree
import time:      7009 |      20684 |                                       scipy.spatial._kdtree
import time:      3975 |       3975 |                                         scipy._lib.messagestream
import time:     18657 |      22631 |                                       scipy.spatial._qhull
import time:      6679 |       6679 |                                         scipy.spatial._voronoi
import time:      9911 |      16590 |                                       scipy.spatial._spherical_voronoi
import time:      7230 |       7230 |                                       scipy.spatial._plotutils
import time:      3578 |       3578 |                                       scipy.spatial._procrustes
import time:      4673 |       4673 |                                           scipy.spatial._hausdorff
import time:      9238 |       9238 |                                           scipy.spatial._distance_pybind
import time:      3213 |       3213 |                                           scipy.spatial._distance_wrap
import time:     36353 |      53475 |                                         scipy.spatial.distance
import time:      7657 |      61132 |                                       scipy.spatial._geometric_slerp
import time:      4962 |       4962 |                                       scipy.spatial.ckdtree
import time:      7638 |       7638 |                                       scipy.spatial.kdtree
import time:      6703 |       6703 |                                       scipy.spatial.qhull
import time:     10690 |      10690 |                                           scipy.spatial.transform._rotation_cy
import time:      9792 |       9792 |                                           scipy.spatial.transform._rotation_xp
import time:     49826 |      49826 |                                               scipy.constants._codata
import time:     13560 |      13560 |                                               scipy.constants._constants
import time:      7495 |       7495 |                                               scipy.constants.codata
import time:      4740 |       4740 |                                               scipy.constants.constants
import time:     22304 |      97923 |                                             scipy.constants
import time:      4630 |     102552 |                                           scipy.spatial.transform._rotation_groups
import time:    112883 |     235916 |                                         scipy.spatial.transform._rotation
import time:      9606 |       9606 |                                           scipy.spatial.transform._rigid_transform_cy
import time:      8047 |       8047 |                                           scipy.spatial.transform._rigid_transform_xp
import time:     75438 |      93090 |                                         scipy.spatial.transform._rigid_transform
import time:     13693 |      13693 |                                         scipy.spatial.transform._rotation_spline
import time:      3562 |       3562 |                                         scipy.spatial.transform.rotation
import time:      4591 |     350850 |                                       scipy.spatial.transform
import time:     22594 |     524588 |                                     scipy.spatial
import time:     24773 |      24773 |                                           scipy.optimize._dcsrch
import time:     25561 |      50333 |                                         scipy.optimize._linesearch
import time:      3996 |       3996 |                                           scipy.optimize._group_columns
import time:      6089 |      10085 |                                         scipy.optimize._numdiff
import time:     13903 |      13903 |                                           scipy.optimize._hessian_update_strategy
import time:     12246 |      26148 |                                         scipy.optimize._differentiable_functions
import time:     27611 |     114176 |                                       scipy.optimize._optimize
import time:      8591 |       8591 |                                           scipy.optimize._trustregion
import time:      4700 |      13290 |                                         scipy.optimize._trustregion_dogleg
import time:      8712 |       8712 |                                         scipy.optimize._trustregion_ncg
import time:      5878 |       5878 |                                             scipy.optimize._trlib._trlib
import time:      7596 |      13474 |                                           scipy.optimize._trlib
import time:      6059 |      19532 |                                         scipy.optimize._trustregion_krylov
import time:      9997 |       9997 |                                         scipy.optimize._trustregion_exact
import time:      8229 |       8229 |                                             scipy.optimize._constraints
import time:      5773 |       5773 |                                                   sksparse
import time:      3820 |       9592 |                                                 sksparse.cholmod
import time:      6159 |      15751 |                                               scipy.optimize._trustregion_constr.projections
import time:      4564 |       4564 |                                               scipy.optimize._trustregion_constr.qp_subproblem
import time:      8062 |      28377 |                                             scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:     16462 |      16462 |                                             scipy.optimize._trustregion_constr.canonical_constraint
import time:     13633 |      13633 |                                             scipy.optimize._trustregion_constr.tr_interior_point
import time:     13694 |      13694 |                                             scipy.optimize._trustregion_constr.report
import time:     14794 |      95187 |                                           scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:      3978 |      99164 |                                         scipy.optimize._trustregion_constr
import time:     15005 |      15005 |                                           scipy.optimize._lbfgsb
import time:      4856 |      19861 |                                         scipy.optimize._lbfgsb_py
import time:      4474 |       4474 |                                           scipy.optimize._moduleTNC
import time:     30367 |      34840 |                                         scipy.optimize._tnc
import time:     25027 |      25027 |                                         scipy.optimize._cobyla_py
import time:      4731 |       4731 |                                         scipy.optimize._cobyqa_py
import time:      8819 |       8819 |                                           scipy.optimize._slsqplib
import time:      5329 |      14147 |                                         scipy.optimize._slsqp_py
import time:      9753 |     259050 |                                       scipy.optimize._minimize
import time:      4753 |       4753 |                                           scipy.optimize._minpack
import time:      4773 |       4773 |                                                 scipy.optimize._lsq.common
import time:     15435 |      20208 |                                               scipy.optimize._lsq.trf
import time:     15194 |      15194 |                                               scipy.optimize._lsq.dogbox
import time:     43414 |      78815 |                                             scipy.optimize._lsq.least_squares
import time:     10041 |      10041 |                                                 scipy.optimize._lsq.givens_elimination
import time:     32591 |      42631 |                                               scipy.optimize._lsq.trf_linear
import time:      8783 |       8783 |                                               scipy.optimize._lsq.bvls
import time:     14997 |      66410 |                                             scipy.optimize._lsq.lsq_linear
import time:      6312 |     151536 |                                           scipy.optimize._lsq
import time:     30571 |     186859 |                                         scipy.optimize._minpack_py
import time:     12184 |      12184 |                                         scipy.optimize._spectral
import time:     25261 |      25261 |                                         scipy.optimize._nonlin
import time:     17000 |     241302 |                                       scipy.optimize._root
import time:      7539 |       7539 |                                           scipy.optimize._zeros
import time:      6406 |      13944 |                                         scipy.optimize._zeros_py
import time:      8349 |      22293 |                                       scipy.optimize._root_scalar
import time:     10032 |      10032 |                                       scipy.optimize._nnls
import time:     17154 |      17154 |                                       scipy.optimize._basinhopping
import time:      7159 |       7159 |                                             scipy.optimize._highspy
import time:     58040 |      58040 |                                             scipy.optimize._highspy._core
import time:     34445 |      34445 |                                             scipy.optimize._highspy._highs_options
import time:      8162 |     107805 |                                           scipy.optimize._highspy._highs_wrapper
import time:      7003 |     114808 |                                         scipy.optimize._linprog_highs
import time:      2177 |       2177 |                                                         uarray
import time:      9329 |       9329 |                                                             scipy._lib._uarray._uarray
import time:     11675 |      21003 |                                                           scipy._lib._uarray._backend
import time:     12008 |      33011 |                                                         scipy._lib._uarray
import time:      7013 |      42201 |                                                       scipy._lib.uarray
import time:    121980 |     164180 |                                                     scipy.fft._basic
import time:    109791 |     109791 |                                                     scipy.fft._realtransforms
import time:     15502 |      15502 |                                                       scipy.fft._fftlog_backend
import time:     18781 |      34283 |                                                     scipy.fft._fftlog
import time:     12446 |      12446 |                                                           scipy.fft._pocketfft.pypocketfft
import time:     14880 |      14880 |                                                           scipy.fft._pocketfft.helper
import time:      8458 |      35784 |                                                         scipy.fft._pocketfft.basic
import time:      7948 |       7948 |                                                         scipy.fft._pocketfft.realtransforms
import time:     10492 |      54223 |                                                       scipy.fft._pocketfft
import time:     24012 |      78234 |                                                     scipy.fft._helper
import time:     15536 |      15536 |                                                       scipy.fft._basic_backend
import time:     14248 |      14248 |                                                       scipy.fft._realtransforms_backend
import time:     18179 |      47962 |                                                     scipy.fft._backend
import time:      7895 |     442343 |                                                   scipy.fft
import time:     20129 |     462471 |                                                 scipy.linalg._decomp_interpolative
import time:      4350 |     466821 |                                               scipy.linalg.interpolative
import time:     13358 |     480179 |                                             scipy.optimize._remove_redundancy
import time:     22894 |     503072 |                                           scipy.optimize._linprog_util
import time:      2394 |       2394 |                                           sksparse
import time:     11196 |      11196 |                                             scikits
import time:       306 |      11501 |                                           scikits.umfpack
import time:     15670 |     532637 |                                         scipy.optimize._linprog_ip
import time:      4144 |       4144 |                                         scipy.optimize._linprog_simplex
import time:      8441 |       8441 |                                           scipy.optimize._bglu_dense
import time:      4305 |      12745 |                                         scipy.optimize._linprog_rs
import time:      4024 |       4024 |                                         scipy.optimize._linprog_doc
import time:      8148 |     676503 |                                       scipy.optimize._linprog
import time:     15331 |      15331 |                                       scipy.optimize._lsap
import time:     41953 |      41953 |                                       scipy.optimize._differentialevolution
import time:     13790 |      13790 |                                         scipy.optimize._pava_pybind
import time:      8261 |      22051 |                                       scipy.optimize._isotonic
import time:      5617 |       5617 |                                           scipy.optimize._shgo_lib
import time:     35153 |      35153 |                                           scipy.optimize._shgo_lib._vertex
import time:     10069 |      50838 |                                         scipy.optimize._shgo_lib._complex
import time:     19096 |      69933 |                                       scipy.optimize._shgo
import time:     33160 |      33160 |                                       scipy.optimize._dual_annealing
import time:     18038 |      18038 |                                       scipy.optimize._qap
import time:      7774 |       7774 |                                         scipy.optimize._direct
import time:     14386 |      22160 |                                       scipy.optimize._direct_py
import time:      8263 |       8263 |                                       scipy.optimize._milp
import time:      4572 |       4572 |                                       scipy.optimize.cobyla
import time:      5149 |       5149 |                                       scipy.optimize.lbfgsb
import time:      6410 |       6410 |                                       scipy.optimize.linesearch
import time:      5856 |       5856 |                                       scipy.optimize.minpack
import time:      8638 |       8638 |                                       scipy.optimize.minpack2
import time:     15254 |      15254 |                                       scipy.optimize.moduleTNC
import time:     15443 |      15443 |                                       scipy.optimize.nonlin
import time:      3937 |       3937 |                                       scipy.optimize.optimize
import time:     11289 |      11289 |                                       scipy.optimize.slsqp
import time:      4269 |       4269 |                                       scipy.optimize.tnc
import time:     13119 |      13119 |                                       scipy.optimize.zeros
import time:     14507 |    1679831 |                                     scipy.optimize
import time:      8612 |       8612 |                                         scipy._lib.doccer
import time:      8079 |       8079 |                                         scipy.stats._distr_params
